Index,Numero generado
1,30.301877815497253
2,26.04444309943156
3,25.08569387273872
4,28.356351624680485
5,31.246387478129712
6,27.10790535249793
7,31.176016194960944
8,21.542689695630404
9,37.38505748203375
10,23.605323614878383
11,27.8281760701982
12,29.580561381663372
13,30.355388047843135
14,27.275819723161774
15,35.28075792871187
16,34.723374186741026
17,25.154622505983298
18,31.590575621094448
19,37.94473904862026
20,40.419528427755566
21,33.84144730731296
22,29.80512593735912
23,26.67761673458605
24,30.716741670408375
25,25.558507242164122
26,22.488174837868954
27,37.29684936657194
28,31.031425378237024
29,30.722350721837095
30,32.36453091488391
31,34.806940493151785
32,30.66025733032574
33,33.1062689844533
34,28.162698030711976
35,26.8821258918954
36,32.06934223775865
37,22.768026617709022
38,20.435655019793707
39,18.205743685883885
40,26.488595271829215
41,30.683624851017438
42,30.341011753279325
43,24.426128173754456
44,25.89023243677876
45,29.59190528338833
46,42.10773975391991
47,29.763106479901417
48,25.32885719226679
49,29.930285014747465
50,37.54946113874759
51,34.061250080456894
52,36.78931746584456
53,36.711610311272196
54,32.25308200752386
55,25.341356991898394
56,31.99886944300829
57,24.85365025565207
58,28.36855706005028
59,27.25288353708614
60,28.173971787316766
61,28.892860578551947
62,21.672031345383758
63,20.83233726095913
64,29.509439957716467
65,40.81751706095037
66,19.965253368953455
67,29.454722397708533
68,21.5447877510067
69,30.377559314895127
70,34.0121237703416
71,28.118787690804123
72,29.283413229119827
73,26.93414943392979
74,26.561584248559015
75,29.35906038300423
76,25.749886155162073
77,28.037192189319633
78,26.545035226779845
79,26.045111998001566
80,32.57229655607096
81,29.512691998489306
82,27.60718041540334
83,31.63428670262923
84,26.083539565870772
85,25.05254252922502
86,34.53521759382948
87,38.85059998287964
88,28.65870133364573
89,19.839164997909307
90,30.359940039912733
91,30.8982766046618
92,37.304393904627396
93,35.650711345206375
94,21.067657308984167
95,21.324575213474397
96,29.503401381381558
97,29.850755387629277
98,38.087127039705344
99,30.258554951800875
100,24.572441270166557
101,36.35682809448251
102,24.86481827489814
103,37.81201869868475
104,38.70645408202004
105,25.187774313956968
106,29.275146065549098
107,31.4327414517809
108,28.210677144495655
109,27.744151162044265
110,26.36668462769804
111,28.667396943670063
112,43.121941355324296
113,31.999226477896396
114,34.23866488107696
115,31.030363658009616
116,32.80225462102554
117,35.144296179043906
118,23.5186723736631
119,28.688226110507173
120,25.569923631361224
121,31.34738463820864
122,26.698192807308953
123,20.141189264699882
124,25.208747668250385
125,34.97996156842522
126,25.718209660118376
127,29.35284327559125
128,34.203397125261326
129,16.307640287806663
130,35.73412426115002
131,33.01994880390673
132,32.00106009068848
133,32.27924902906191
134,29.62854149206634
135,34.98946857236954
136,28.29544390407225
137,30.860361582028947
138,27.889620751663404
139,29.624438880621952
140,30.304263013079
141,34.855664677449184
142,29.454727073095828
143,27.868927751500618
144,31.383141629045408
145,29.87472712951548
146,23.17652343244387
147,39.0462051613015
148,27.200220458263708
149,22.129493358756083
150,33.19523188178635
151,31.655906178180672
152,24.624137088683522
153,26.377338048184946
154,33.44115898881576
155,25.85462094303068
156,18.71891476975145
157,30.976083630997742
158,30.622878530602318
159,22.885025608235487
160,24.924403465012425
161,26.197473132155178
162,23.600975959600362
163,15.71671743517667
164,24.024782903975165
165,27.237341040790785
166,33.85825131028791
167,39.21908280379201
168,35.64587970693322
169,30.534642671213003
170,27.110349937255364
171,27.132806739252448
172,32.982488502778786
173,21.30953259585882
174,28.07415413998103
175,33.96766283002589
176,32.92781626394333
177,26.541554485271014
178,35.23697201755252
179,31.111284412604313
180,35.01874463041381
181,39.610401690071285
182,25.244610441584054
183,35.97566460948919
184,29.467042010373415
185,32.45986504829313
186,29.98508137830044
187,26.64955725178961
188,37.38028248251982
189,31.762236603809956
190,32.375791660217686
191,31.045804600373636
192,29.08234794656585
193,41.28050046173273
194,24.34969217738022
195,37.6191519805875
196,28.56660703869128
197,32.39931580345677
198,20.05841231900333
199,25.529289043171406
200,38.54325267365283
201,35.7744589829882
202,25.5249336907424
203,28.414720306762764
204,33.451606864834886
205,27.896519562285587
206,24.74699515628416
207,34.930962753739486
208,32.442393308467835
209,34.8570670209548
210,39.21426528956749
211,30.385182571086776
212,25.40988420349547
213,35.51196117818952
214,32.89840391242197
215,32.960761501436075
216,28.980438660662042
217,27.565830149890377
218,35.70036663510403
219,33.06209256714758
220,27.416540396417478
221,33.49197739991562
222,31.58149085416181
223,35.36437796335214
224,29.931560882705337
225,24.131583785361705
226,33.58258852978043
227,29.694072444280128
228,29.146548158485192
229,28.06604507463314
230,33.57411106863749
231,23.246055507278403
232,29.473636710544696
233,33.33969448722381
234,34.640402321232756
235,27.580855563989235
236,33.94360092956194
237,32.217856860111404
238,15.203790461264026
239,24.31264417669872
240,22.782803290781498
241,30.248612045994953
242,15.128563720841036
243,32.186287712124226
244,27.334444301672118
245,33.20625434759933
246,29.905984936399125
247,24.053930117864297
248,31.513618543979927
249,33.85198878261983
250,23.126867748332234
251,33.46187079453739
252,33.401898527456375
253,32.55784365955916
254,31.456230231640646
255,36.16267827314266
256,29.657685329472976
257,32.188376042780106
258,33.901134032974454
259,22.12838479997454
260,40.248948866465646
261,24.338006965657755
262,20.117331308360335
263,21.23028283106187
264,34.2376736738887
265,35.9589900572019
266,30.650192662175137
267,29.913691196938586
268,28.804416430677996
269,24.814158778685105
270,32.49337161542877
271,32.70530973242255
272,31.675662664784504
273,30.25902011508664
274,27.275791291202236
275,27.52275379888463
276,37.46986892694369
277,23.112056393520476
278,27.763354625181513
279,26.125911375512153
280,31.13897649125671
281,37.92737402573758
282,31.788758272908176
283,30.33898639410049
284,30.743162792659206
285,27.725799568725865
286,32.989341705123024
287,23.863621083690575
288,27.486951968071793
289,27.732564336779706
290,36.292388895278954
291,32.88376685777644
292,21.80284490616954
293,37.261968019741786
294,38.958377579656116
295,29.982198128463427
296,38.52468376126034
297,29.813521247238832
298,29.609785080981744
299,22.252335909414604
300,17.481910997397243
301,38.626324550484874
302,39.676573696185045
303,34.36248640853454
304,32.57243522083811
305,26.12617862583145
306,29.35663898851948
307,32.9229417868185
308,30.557886528137722
309,25.85793667438537
310,28.288278049361118
